iter	Passed	Remaining
0	6	6588
1	12	6336
2	19	6604
3	26	6634
4	32	6480
5	38	6404
6	45	6424
7	52	6520
8	58	6436
9	64	6385
10	70	6369
11	76	6293
12	82	6261
13	87	6160
14	93	6134
15	99	6092
16	105	6086
17	111	6082
18	117	6059
19	122	6021
20	127	5951
21	133	5935
22	137	5848
23	142	5804
24	147	5767
25	153	5747
26	159	5734
27	163	5687
28	168	5650
29	173	5619
30	178	5587
31	183	5551
32	187	5493
33	191	5444
34	195	5393
35	199	5354
36	204	5327
37	209	5291
38	213	5250
39	217	5211
40	221	5176
41	225	5149
42	230	5130
43	235	5110
44	239	5086
45	243	5059
46	248	5032
47	252	5003
48	256	4982
49	261	4960
50	265	4944
51	270	4926
52	274	4903
53	279	4892
54	283	4877
55	288	4860
56	292	4835
57	296	4817
58	300	4796
59	304	4773
60	308	4753
61	313	4736
62	317	4720
63	322	4713
64	326	4696
65	330	4679
66	334	4663
67	339	4652
68	343	4636
69	348	4634
70	354	4633
71	358	4624
72	363	4615
73	368	4609
74	373	4603
75	378	4601
76	384	4612
77	390	4613
78	395	4611
79	401	4615
80	407	4618
81	412	4621
82	418	4625
83	424	4624
84	429	4625
85	435	4628
86	441	4633
87	446	4629
88	452	4631
89	458	4633
90	463	4631
91	469	4629
92	474	4628
93	480	4627
94	485	4625
95	490	4623
96	496	4621
97	501	4619
98	508	4624
99	513	4622
100	519	4622
101	524	4619
102	529	4615
103	535	4615
104	541	4612
105	546	4608
106	551	4603
107	557	4603
108	562	4600
109	567	4594
110	572	4585
111	577	4576
112	582	4570
113	587	4563
114	591	4553
115	596	4543
116	601	4537
117	606	4533
118	612	4535
119	618	4538
120	624	4535
121	630	4535
122	635	4533
123	641	4532
124	647	4534
125	653	4536
126	660	4538
127	665	4536
128	671	4536
129	678	4537
130	683	4536
131	690	4537
132	695	4535
133	701	4531
134	706	4529
135	712	4526
136	718	4523
137	723	4519
138	729	4516
139	735	4518
140	740	4514
141	746	4512
142	752	4508
143	757	4505
144	763	4500
145	768	4495
146	774	4492
147	779	4489
148	785	4487
149	791	4483
150	796	4480
151	802	4478
152	808	4477
153	814	4474
154	818	4464
155	823	4455
156	828	4448
157	833	4439
158	837	4432
159	842	4425
160	848	4420
161	854	4420
162	860	4417
163	865	4413
164	871	4412
165	877	4410
166	883	4408
167	889	4406
168	895	4404
169	901	4400
170	907	4398
171	912	4394
172	918	4392
173	924	4388
174	929	4383
175	935	4379
176	940	4375
177	946	4371
178	952	4368
179	958	4365
180	964	4362
181	969	4357
182	975	4355
183	981	4352
184	986	4346
185	992	4343
186	998	4340
187	1004	4338
188	1010	4337
189	1016	4335
190	1022	4330
191	1028	4326
192	1034	4324
193	1040	4321
194	1046	4318
195	1051	4314
196	1057	4308
197	1062	4302
198	1067	4298
199	1072	4291
200	1077	4284
201	1081	4272
202	1086	4264
203	1090	4256
204	1095	4247
205	1099	4236
206	1103	4228
207	1107	4218
208	1112	4209
209	1116	4199
210	1119	4187
211	1123	4177
212	1127	4166
213	1131	4156
214	1135	4147
215	1140	4140
216	1145	4132
217	1149	4122
218	1153	4112
219	1157	4103
220	1162	4096
221	1166	4088
222	1171	4080
223	1175	4071
224	1179	4062
225	1183	4053
226	1187	4044
227	1191	4035
228	1196	4027
229	1200	4018
230	1204	4010
231	1208	4001
232	1213	3994
233	1217	3986
234	1222	3978
235	1227	3972
236	1232	3967
237	1238	3963
238	1243	3958
239	1248	3954
240	1254	3952
241	1260	3948
242	1266	3943
243	1271	3939
244	1277	3936
245	1282	3931
246	1288	3928
247	1294	3925
248	1300	3922
249	1306	3918
250	1312	3915
251	1318	3912
252	1324	3911
253	1331	3909
254	1336	3905
255	1342	3901
256	1348	3898
257	1354	3895
258	1360	3891
259	1365	3887
260	1371	3882
261	1377	3879
262	1382	3874
263	1388	3870
264	1394	3866
265	1400	3863
266	1405	3859
267	1411	3854
268	1416	3850
269	1422	3845
270	1428	3841
271	1433	3836
272	1439	3832
273	1444	3827
274	1449	3820
275	1453	3812
276	1457	3805
277	1462	3797
278	1467	3791
279	1471	3785
280	1476	3777
281	1481	3771
282	1485	3764
283	1490	3758
284	1495	3752
285	1501	3748
286	1507	3744
287	1512	3739
288	1518	3736
289	1524	3731
290	1529	3727
291	1535	3722
292	1541	3720
293	1547	3715
294	1551	3707
295	1555	3700
296	1559	3691
297	1564	3684
298	1569	3678
299	1573	3671
300	1578	3665
301	1583	3660
302	1589	3656
303	1594	3650
304	1599	3645
305	1605	3641
306	1611	3636
307	1616	3632
308	1622	3628
309	1628	3624
310	1634	3621
311	1640	3617
312	1646	3614
313	1652	3610
314	1658	3605
315	1664	3602
316	1669	3597
317	1675	3592
318	1680	3588
319	1686	3583
320	1692	3579
321	1697	3574
322	1703	3570
323	1708	3565
324	1714	3561
325	1720	3556
326	1725	3551
327	1731	3546
328	1736	3542
329	1742	3537
330	1747	3532
331	1753	3527
332	1759	3523
333	1764	3518
334	1770	3514
335	1775	3509
336	1781	3505
337	1787	3501
338	1793	3496
339	1798	3491
340	1804	3487
341	1810	3482
342	1815	3478
343	1821	3473
344	1827	3468
345	1833	3464
346	1838	3460
347	1844	3455
348	1850	3451
349	1856	3447
350	1861	3442
351	1867	3437
